customer_id,surname,credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited,zone,signup_date,exit_date,deposit_target_cr,rm_headcount,baseline_avg_txns,recent_avg_txns,total_txn_amount,activity_decline_pct,complaint_count,last_complaint_date,has_creditcard,has_fixeddeposit,has_insurance,has_mutualfund,has_personalloan,has_savings,has_complained,age_band,balance_lakh,is_zero_balance
15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,West,2023-01-22,2025-06-21,30,120,25.7,0.0,1356913.0,100.0,0,,1.0,0.0,0.0,0.0,0.0,1.0,0,41-50,0.0,1
15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,South,2024-05-17,,16,65,22.3,22.7,1801051.0,-1.8,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,41-50,0.84,0
15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,West,2017-04-28,2025-12-22,30,120,10.6,2.7,637305.0,74.5,0,,1.0,1.0,0.0,1.0,0.0,1.0,0,41-50,1.6,0
15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,West,2024-02-08,,30,120,11.5,10.3,697809.0,10.4,0,,0.0,1.0,0.0,0.0,0.0,1.0,0,31-40,0.0,1
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,South,2023-06-04,,16,65,32.7,34.0,2244888.0,-4.0,0,,1.0,0.0,0.0,0.0,0.0,1.0,0,41-50,1.26,0
15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,South,2017-03-25,2025-05-27,16,65,7.7,0.0,510376.0,100.0,0,,1.0,0.0,0.0,0.0,1.0,1.0,0,41-50,1.14,0
15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,West,2018-03-04,,30,120,30.3,29.7,2085546.0,2.0,0,,1.0,1.0,0.0,0.0,0.0,1.0,0,41-50,0.0,1
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,North,2021-10-11,2025-09-11,22,70,5.3,0.0,325372.0,100.0,0,,1.0,1.0,0.0,1.0,1.0,1.0,0,18-30,1.15,0
15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,West,2021-12-12,,30,120,18.7,20.0,1382077.0,-7.0,0,,0.0,0.0,1.0,0.0,0.0,1.0,0,41-50,1.42,0
15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,West,2023-09-14,,30,120,24.5,24.7,2030442.0,-0.8,0,,1.0,0.0,0.0,0.0,0.0,1.0,0,18-30,1.35,0
15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,West,2019-09-20,,30,120,11.8,13.7,908653.0,-16.1,0,,0.0,0.0,0.0,0.0,1.0,1.0,0,31-40,1.02,0
15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,South,2022-02-17,,16,65,14.3,14.7,1150441.0,-2.8,0,,1.0,0.0,0.0,0.0,1.0,1.0,0,18-30,0.0,1
15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,West,2015-02-04,,30,120,8.0,7.0,498458.0,12.5,0,,1.0,0.0,0.0,0.0,1.0,1.0,0,31-40,0.0,1
15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,West,2020-12-31,,30,120,7.0,8.0,497427.0,-14.3,0,,0.0,1.0,0.0,0.0,0.0,1.0,0,18-30,0.0,1
15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,South,2018-07-04,,16,65,29.8,28.3,1484931.0,5.0,0,,1.0,1.0,0.0,0.0,0.0,1.0,0,31-40,0.0,1
15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,North,2022-03-08,,22,70,25.7,25.3,1557494.0,1.6,0,,0.0,0.0,1.0,0.0,0.0,1.0,0,41-50,1.43,0
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,North,2024-11-14,2025-09-27,22,70,6.1,0.0,443933.0,100.0,0,,1.0,0.0,0.0,0.0,0.0,1.0,0,51-60,1.33,0
15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,South,2016-03-18,,16,65,29.5,29.3,2091836.0,0.7,0,,1.0,0.0,1.0,0.0,0.0,1.0,0,18-30,0.0,1
15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,South,2019-11-20,,16,65,12.4,13.3,736868.0,-7.3,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,41-50,0.0,1
15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,West,2019-07-16,,30,120,27.4,27.3,1524703.0,0.4,0,,1.0,0.0,0.0,0.0,1.0,1.0,0,18-30,0.0,1
15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,West,2017-03-10,,30,120,34.0,34.3,2214532.0,-0.9,0,,1.0,0.0,0.0,1.0,0.0,1.0,0,41-50,0.0,1
15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,South,2017-09-14,,16,65,4.0,5.7,351305.0,-42.5,0,,1.0,0.0,0.0,0.0,1.0,1.0,0,31-40,0.0,1
15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,South,2021-08-30,2025-01-31,16,65,7.5,0.0,255246.0,100.0,0,,1.0,0.0,0.0,0.0,0.0,1.0,0,31-40,0.0,1
15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,West,2022-09-22,,30,120,28.7,27.0,2011739.0,5.9,1,2024-05-31,0.0,0.0,1.0,0.0,0.0,1.0,1,41-50,0.0,1
15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,West,2020-04-14,,30,120,37.8,36.7,3221690.0,2.9,0,,1.0,0.0,0.0,0.0,0.0,1.0,0,31-40,0.0,1
15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,West,2022-09-30,,30,120,24.1,23.3,1537089.0,3.3,0,,0.0,0.0,0.0,1.0,0.0,1.0,0,18-30,0.0,1
15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,North,2023-01-05,,22,70,21.6,20.3,2107890.0,6.0,0,,1.0,0.0,0.0,0.0,0.0,1.0,0,31-40,1.37,0
15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,West,2016-07-24,,30,120,8.0,10.3,567730.0,-28.8,0,,0.0,1.0,0.0,0.0,0.0,1.0,0,41-50,0.0,1
15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,North,2022-07-11,,22,70,30.8,30.3,1773200.0,1.6,0,,1.0,0.0,0.0,0.0,0.0,1.0,0,41-50,1.41,0
15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,West,2025-06-30,,30,120,24.8,26.7,1483395.0,-7.7,0,,1.0,0.0,1.0,0.0,0.0,1.0,0,18-30,0.6,0
15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,South,2022-06-03,2025-07-08,16,65,15.1,0.0,1048004.0,100.0,0,,1.0,0.0,1.0,1.0,0.0,1.0,0,31-40,0.0,1
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,West,2018-06-14,,30,120,28.5,30.0,1740066.0,-5.3,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,31-40,0.85,0
15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,North,2016-07-01,,22,70,12.6,13.0,757093.0,-3.2,0,,0.0,0.0,1.0,0.0,0.0,1.0,0,41-50,1.1,0
15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,South,2019-01-04,,16,65,20.0,18.7,1245957.0,6.5,0,,1.0,0.0,1.0,0.0,0.0,1.0,0,41-50,0.0,1
15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,South,2016-03-14,,16,65,30.7,29.7,2055234.0,3.3,0,,1.0,0.0,0.0,0.0,1.0,1.0,0,18-30,0.0,1
15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,West,2025-03-17,2025-04-24,30,120,3.6,0.0,232826.0,100.0,0,,1.0,0.0,0.0,0.0,0.0,1.0,0,41-50,1.34,0
